ID,Password,First Name,Last Name,email,Role,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6
169154,degcnzf0&,Adele,Hill,a.hill@lincolnsgroup.com,Head,FIT2004,,,,,
630418,kwdfvtp3!,Maximilian,Murray,m.murray@lincolnsgroup.com,Head,FIT2021,,,,,
769085,vijevbo1!,Daisy,Ryan,d.ryan@lincolnsgroup.com,Head,FIT2085,,,,,
887344,ejwzzkz3*,Vincent,Kelly,v.kelly@lincolnsgroup.com,Head,ENG1001,,,,,
651901,fsogtip7*,Darcy,Johnston,d.johnston@lincolnsgroup.com,Head,ENG1002,,,,,
554343,kmmunqh4!,Rubie,Howard,r.howard@lincolnsgroup.com,Head,ENG1005,,,,,
410734,hwerjah0-,Carl,Hawkins,c.hawkins@lincolnsgroup.com,Tutor,FIT2004,FIT2021,,,,
148546,cqkhjfz8/,Carl,Rogers,c.rogers@lincolnsgroup.com,Tutor,FIT2004,,,,,
786151,bloqwwa9+,Freddie,Richards,f.richards@lincolnsgroup.com,Tutor,FIT2085,ENG1001,,,,
885944,okjtdrf8.,Arianna,Ross,a.ross@lincolnsgroup.com,Tutor,ENG1002,,,,,
533994,jytsgrt9',Harold,Brooks,h.brooks@lincolnsgroup.com,Tutor,ENG1002,ENG1005,,,,
522803,wnsldfb0$,Chloe,Cooper,c.cooper@lincolnsgroup.com,Tutor,FIT2004,FIT2021,FIT2085,,,
158858,xsrfcai6!,Aldus,Ryan,a.ryan@lincolnsgroup.com,Tutor,FIT2004,FIT2021,FIT2085,ENG1005,,
983763,"imbxgim0,",Alexander,Dixon,a.dixon@lincolnsgroup.com,Tutor,ENG1005,,,,,
137753,fnmaogf1',Maya,Perkins,m.perkins@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,,
416738,ogzbryc6%,Tiana,Richards,t.richards@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,,
370226,"jqyafpd9,",April,Grant,a.grant@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,,
547965,bjmptdb4!,Paige,Jones,p.jones@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,,
313142,qplfmbf6),Walter,Dixon,w.dixon@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,,
497263,zcypzyg0/,Adelaide,Cameron,a.cameron@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
271751,nptalmp1&,Harold,Williams,h.williams@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
954745,"pssdqps6""",Reid,Bailey,r.bailey@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
684444,gdrcvaq6!,Byron,Martin,b.martin@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
152598,stdhgvf2%,Stella,Cooper,s.cooper@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
154335,swhqcky1#,Chester,Robinson,c.robinson@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
126430,kyrdfqt7),Brooke,Rogers,b.rogers@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
903357,hfjmjqy8%,Edgar,Richardson,e.richardson@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1001,ENG1002,,
268690,lkfeabn5%,Kelsey,Harper,k.harper@lincolnsgroup.com,Student,FIT2004,FIT2085,ENG1002,ENG1005,,
211858,blsmqwt9+,Amelia,Spencer,a.spencer@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
881895,mdflsrx6-,Victoria,Ryan,v.ryan@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
