id,Password,First_Name,Last_Name,email,Role,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
169154,degcnzf0&,Adele,Hill,a.hill@lincolnsgroup.com,Head,1,0,0,0,0,0
630418,kwdfvtp3!,Maximilian,Murray,m.murray@lincolnsgroup.com,Head,0,1,0,0,0,0
769085,vijevbo1!,Daisy,Ryan,d.ryan@lincolnsgroup.com,Head,0,0,1,0,0,0
887344,ejwzzkz3*,Vincent,Kelly,v.kelly@lincolnsgroup.com,Head,0,0,0,1,0,0
651901,fsogtip7*,Darcy,Johnston,d.johnston@lincolnsgroup.com,Head,0,0,0,0,1,0
554343,kmmunqh4!,Rubie,Howard,r.howard@lincolnsgroup.com,Head,0,0,0,0,0,1
410734,hwerjah0-,Carl,Hawkins,c.hawkins@lincolnsgroup.com,Tutor,1,1,0,0,0,0
148546,cqkhjfz8/,Carl,Rogers,c.rogers@lincolnsgroup.com,Tutor,1,0,0,0,0,0
786151,bloqwwa9+,Freddie,Richards,f.richards@lincolnsgroup.com,Tutor,0,0,1,1,0,0
885944,okjtdrf8.,Arianna,Ross,a.ross@lincolnsgroup.com,Tutor,0,0,0,0,1,0
533994,jytsgrt9',Harold,Brooks,h.brooks@lincolnsgroup.com,Tutor,0,0,0,0,1,1
522803,wnsldfb0$,Chloe,Cooper,c.cooper@lincolnsgroup.com,Tutor,1,1,1,0,0,0
158858,xsrfcai6!,Aldus,Ryan,a.ryan@lincolnsgroup.com,Tutor,1,1,1,0,0,1
983763,"imbxgim0,",Alexander,Dixon,a.dixon@lincolnsgroup.com,Tutor,0,0,0,0,0,1
137753,fnmaogf1',Maya,Perkins,m.perkins@lincolnsgroup.com,Student,1,1,1,1,0,0
416738,ogzbryc6%,Tiana,Richards,t.richards@lincolnsgroup.com,Student,1,1,1,1,0,0
370226,"jqyafpd9,",April,Grant,a.grant@lincolnsgroup.com,Student,1,1,1,1,0,0
547965,bjmptdb4!,Paige,Jones,p.jones@lincolnsgroup.com,Student,1,1,1,1,0,0
313142,qplfmbf6),Walter,Dixon,w.dixon@lincolnsgroup.com,Student,1,1,1,1,0,0
497263,zcypzyg0/,Adelaide,Cameron,a.cameron@lincolnsgroup.com,Student,1,0,1,1,1,0
271751,nptalmp1&,Harold,Williams,h.williams@lincolnsgroup.com,Student,1,0,1,1,1,0
954745,"pssdqps6""",Reid,Bailey,r.bailey@lincolnsgroup.com,Student,1,0,1,1,1,0
684444,gdrcvaq6!,Byron,Martin,b.martin@lincolnsgroup.com,Student,1,0,1,1,1,0
152598,stdhgvf2%,Stella,Cooper,s.cooper@lincolnsgroup.com,Student,1,0,1,1,1,0
154335,swhqcky1#,Chester,Robinson,c.robinson@lincolnsgroup.com,Student,1,0,1,1,1,0
126430,kyrdfqt7),Brooke,Rogers,b.rogers@lincolnsgroup.com,Student,1,0,1,1,1,0
903357,hfjmjqy8%,Edgar,Richardson,e.richardson@lincolnsgroup.com,Student,1,0,1,1,1,0
268690,lkfeabn5%,Kelsey,Harper,k.harper@lincolnsgroup.com,Student,1,0,1,0,1,1
211858,blsmqwt9+,Amelia,Spencer,a.spencer@lincolnsgroup.com,Student,0,1,1,1,1,0
881895,mdflsrx6-,Victoria,Ryan,v.ryan@lincolnsgroup.com,Student,0,1,1,1,1,0
368912,pivtzhv5&,Maya,Perry,m.perry@lincolnsgroup.com,Student,0,1,1,1,1,0
289073,mtcnvxk4',Ned,Stevens,n.stevens@lincolnsgroup.com,Student,0,1,1,1,1,0
137236,nkufavx3.,Blake,Allen,b.allen@lincolnsgroup.com,Student,0,1,1,1,1,0
383627,"epbrolz2,",Maximilian,Smith,m.smith@lincolnsgroup.com,Student,0,1,1,1,1,0
413644,irtemfe1*,Amy,Cunningham,a.cunningham@lincolnsgroup.com,Student,0,1,1,1,1,0
763248,whviazk1/,Brooke,Myers,b.myers@lincolnsgroup.com,Student,0,1,1,1,1,0
501771,"ikokfmp7""",Aiden,Rogers,a.rogers@lincolnsgroup.com,Student,0,0,1,1,1,1
406678,yjpcthu0%,Alen,Nelson,a.nelson@lincolnsgroup.com,Student,0,0,1,1,1,1
503379,xiufrmt4$,Edwin,Reed,e.reed@lincolnsgroup.com,Student,0,0,1,1,1,1
138553,nocseoe2/,Frederick,Owens,f.owens@lincolnsgroup.com,Student,0,0,1,1,1,1
438596,"hyhlkvn8,",Alan,Bailey,a.bailey@lincolnsgroup.com,Student,0,0,1,1,1,1
588230,btbtjlp1*,Amber,Kelly,a.kelly@lincolnsgroup.com,Student,0,0,1,1,1,1
292201,yspvzzz7+,Adison,Hunt,a.hunt@lincolnsgroup.com,Student,0,0,1,1,1,1
241241,"mvuatlb4,",Hailey,Roberts,h.roberts@lincolnsgroup.com,Student,0,0,1,1,1,1
134733,bqraqsh3%,Rosie,Carroll,r.carroll@lincolnsgroup.com,Student,0,0,1,1,1,1
721103,qlmjpvb5$,Miranda,Tucker,m.tucker@lincolnsgroup.com,Student,0,0,1,1,1,1
726472,ibvwkhv4&,Adrian,Grant,a.grant@lincolnsgroup.com,Student,0,0,1,1,1,1
214276,bxvsuan5%,William,Bennett,w.bennett@lincolnsgroup.com,Student,0,0,1,1,1,1
772264,szrfcor5),Heather,Casey,h.casey@lincolnsgroup.com,Student,1,1,1,0,0,0
680769,"hsntbkd6""",Agata,Owens,a.owens@lincolnsgroup.com,Student,1,1,1,0,0,0
391108,ltejztb4-,Stella,Ryan,s.ryan@lincolnsgroup.com,Student,1,1,1,0,0,0
483419,wwleqpr2-,Myra,Douglas,m.douglas@lincolnsgroup.com,Student,1,1,1,0,0,0
165387,wnwyzhj1),Julian,Hill,j.hill@lincolnsgroup.com,Student,1,1,1,0,0,0
827748,ghqyvcv2',Darcy,Richards,d.richards@lincolnsgroup.com,Student,1,1,1,0,0,0
774194,zabhodb6-,Vincent,Carroll,v.carroll@lincolnsgroup.com,Student,1,1,1,0,0,0
137155,bwuwamr8/,David,Dixon,d.dixon@lincolnsgroup.com,Student,1,1,1,0,0,0
729892,zadcvqx4),Abraham,Turner,a.turner@lincolnsgroup.com,Student,1,1,1,0,0,0
273405,puyxnxy9),Sofia,Ellis,s.ellis@lincolnsgroup.com,Student,0,0,0,1,1,1
720062,lokrzmc2.,Heather,Moore,h.moore@lincolnsgroup.com,Student,0,0,0,1,1,1
930715,ppluper0%,Adison,Smith,a.smith@lincolnsgroup.com,Student,0,0,0,1,1,1
252513,"awnekgd4,",Emily,Thompson,e.thompson@lincolnsgroup.com,Student,0,0,0,1,1,1
420570,oikfuou4!,Sawyer,Hawkins,s.hawkins@lincolnsgroup.com,Student,0,0,0,1,1,1
699797,"widgzhh4,",Adison,Allen,a.allen@lincolnsgroup.com,Student,0,0,0,1,1,1
224842,fidmozj4.,Victoria,Edwards,v.edwards@lincolnsgroup.com,Student,0,0,0,1,1,1
318419,vewhzsi0%,Eddy,Payne,e.payne@lincolnsgroup.com,Student,0,0,0,1,1,1
425316,"jpbukyt0""",Anna,Scott,a.scott@lincolnsgroup.com,Student,0,0,0,1,1,1
990448,ztieuui4(,Steven,Bennett,s.bennett@lincolnsgroup.com,Student,0,0,0,1,1,1
103237,hujezcp0&,Carlos,Nelson,c.nelson@lincolnsgroup.com,Student,0,1,1,0,0,0
839677,pnyzyoh3!,Carl,Spencer,c.spencer@lincolnsgroup.com,Student,0,1,0,0,0,1
660381,qgzytpa5-,William,Nelson,w.nelson@lincolnsgroup.com,Student,0,1,0,0,1,0
280361,kysstas1!,Eddy,Gibson,e.gibson@lincolnsgroup.com,Student,0,0,0,1,1,0
892961,ahwhsgg8/,Edwin,Harper,e.harper@lincolnsgroup.com,Student,0,0,0,1,1,0
331976,jlhxadh2+,Alfred,Bennett,a.bennett@lincolnsgroup.com,Student,0,0,0,1,1,0
656343,espsfin6/,Adrian,Owens,a.owens@lincolnsgroup.com,Student,0,0,0,1,1,0
938726,imcttpc9-,Blake,Dixon,b.dixon@lincolnsgroup.com,Student,1,1,1,1,1,0
488018,xgvngne3!,Kate,Morrison,k.morrison@lincolnsgroup.com,Student,1,1,1,1,1,0
714502,lejfuzu8.,Anna,Evans,a.evans@lincolnsgroup.com,Student,1,1,1,1,1,0
